words,coef
당기,0.09696772062340892
여름,0.09778408140553971
번들거리,0.10221221102125716
게,0.10276034739079198
건조,0.10498206009426748
들어가,0.10702081398795481
가득,0.1085555456355726
쉽,0.11109593149707678
맞추,0.11135525884267608
득,0.11194945330138277
하루,0.11231608314174585
라,0.1129831644474943
대용량,0.11364939611670911
수분감,0.11429081142246647
습,0.11458585305267709
잡,0.11558958011160692
휴대,0.11872651709089635
양,0.1213617043673861
코,0.12149943912945012
알,0.12157505195348052
젤,0.12356096218500083
꼭,0.12420089530752906
동생,0.12440230002817121
잇,0.1286290093108095
기름지,0.13260336229453448
함께,0.13336026103097326
유튜브,0.14109262943373618
이것저것,0.1425937312440115
젤크림,0.14320595399824199
무향,0.14362967079197672
달,0.14420800560105074
최근,0.1448825617785909
부담,0.14721759154302988
전,0.14759576035388713
단계,0.15256820071863675
날,0.15340516991125863
이제,0.15373477137336883
재생크림,0.16228005946164512
날씨,0.16229199224012447
예전,0.1647704650363518
형,0.16485119328568407
친구,0.16648162037552902
사계절,0.16879720900124648
착하,0.16939939786351768
용기,0.1712209447734201
가볍,0.1714683975562777
마침,0.17204173072311035
장벽,0.17235497520677073
추가,0.17521072002586302
덜,0.17554664759310587
입,0.1838165087815412
기초,0.1843443744432834
진정효과,0.1848242924103783
시작,0.1858346063706737
적당히,0.18694244183056144
매우,0.18866762792643751
특히,0.19134479557345138
타입,0.1933583499752777
평소,0.1947378285900571
후,0.19754290396254637
마지막,0.19917662963582275
집,0.2015687238758754
더,0.20806777141879823
팩,0.20912900355555167
가라앉,0.21093859435249848
받,0.2122865695642833
속,0.21682888959942134
모두,0.22033624581635347
탄력,0.22086546943152593
마무리,0.22160612453468054
당김,0.22371802167763297
챙기,0.2242716386276735
가장,0.2281347809341547
기획,0.22931776806469237
너무너무,0.22941582722179077
내내,0.23246911343589663
광,0.23692278223500005
필요,0.24140661288193208
이후,0.24246148567902892
선물,0.2431819913726491
세안,0.24564379925420785
발리,0.2473273740387285
관리,0.2481162927873426
제일,0.24945916717468677
구매,0.25958259468321787
추천,0.2599434387243423
세수,0.26316242019766906
사라지,0.26451853024045535
매일,0.2731115207637499
고민,0.2739647938450512
전혀,0.2795436788626469
앞,0.28681420323694534
가,0.28810747767453987
무조건,0.29014296000706497
다음날,0.2908536108843646
먹,0.2910793608743683
감사,0.2986242709296684
계속,0.3056747330703034
많이,0.3110605292922518
지금,0.3161714650228669
다니,0.3163312541884757
다음,0.31850990873159546
믿,0.3320032711920945
피부결,0.3374282409504183
주름,0.34237419825382126
제품,0.3430832642670868
합,0.34366312594751014
돌아오,0.35395720133868985
저녁,0.35453051442311817
환절기,0.3665758652314972
벌써,0.3671516182992116
오래,0.37139067095957706
겨울철,0.37684053687426095
무겁,0.38349648511448026
